Actor ID: 1, Full Name: Penelope Guiness
Actor ID: 2, Full Name: Nick Wahlberg
Actor ID: 3, Full Name: Ed Chase
Actor ID: 4, Full Name: Jennifer Davis
Actor ID: 5, Full Name: Johnny Lollobrigida
Actor ID: 6, Full Name: Bette Nicholson
Actor ID: 7, Full Name: Grace Mostel
Actor ID: 8, Full Name: Matthew Johansson
Actor ID: 9, Full Name: Joe Swank
Actor ID: 10, Full Name: Christian Gable
Actor ID: 11, Full Name: Zero Cage
Actor ID: 12, Full Name: Karl Berry
Actor ID: 13, Full Name: Uma Wood
Actor ID: 14, Full Name: Vivien Bergen
Actor ID: 15, Full Name: Cuba Olivier
Actor ID: 16, Full Name: Fred Costner
Actor ID: 17, Full Name: Helen Voight
Actor ID: 18, Full Name: Dan Torn
Actor ID: 19, Full Name: Bob Fawcett
Actor ID: 20, Full Name: Lucille Tracy
